artist,title,year,genre
Peter Gabriel,So,1986,art pop / art rock / worldbeat
Peter Gabriel,Us,1992,art rock / pop / experimental
Sting,Ten Summoner’s Tales,1993,pop rock / jazz rock
Sting,The Soul Cages,1991,rock / pop / art rock
Sting,Mercury Falling,1996,rock / pop / art rock
Sting,Brand New Day,1999,pop rock / world music
Sting,Bring On The Night,1986,live / jazz rock / pop fusion
The Police,Synchronicity,1983,new wave / pop rock
The Beatles,A Hard Day’s Night,1964,rock / pop / beat
The Beatles,Help!,1965,rock / pop
The Beatles,Sgt. Pepper’s Lonely Hearts Club Band,1967,psychedelic rock / art rock / pop
The Beatles,White Album,1968,rock / experimental / pop
Allan Holdsworth,Secrets,1985,jazz fusion / jazz rock
Allan Holdsworth,I. O. U.,1982,progressive jazz fusion
Allan Holdsworth,The Sixteen Men of Tain,2000,jazz fusion / instrumental
Allan Holdsworth,Metal Fatigue,1985,jazz fusion / jazz rock
Michael Brecker,Tales From The Hudson,1996,jazz / jazz fusion
Michael Brecker,Pilgrimage,2007,jazz / post-bop / fusion
Pat Metheny,Bright Size Life,1976,jazz / jazz fusion
Pat Metheny Group,We Live Here,1995,jazz fusion / jazz / world jazz
Keith Jarrett,Tokyo 96’,1998,live solo piano / contemporary jazz
Anna Maria Jopek & Pat Metheny,Upojenie,2002,jazz / world / vocal jazz
Chris Botti,Night Sessions,2001,jazz / smooth jazz
Toto,IV,1982,rock / pop rock / soft rock
Toto,Falling In Between,2006,rock / progressive pop
Leszek Możdżer Lars Danielsson Zohar Fresco,The Time,2005,jazz / jazz fusion / modern jazz
Gary Burton,Times Like These,1988,jazz / fusion
Jamiroquai,Emergency on Planet Earth,1993,acid jazz / funk / pop
Jamiroquai,Dynamite,2005,acid jazz / funk / pop
Jamiroquai,Travelling Without Moving,1996,funk / acid jazz / pop
Jamiroquai,Rock Dust Light Star,2010,acid jazz / funk / pop
Poluzjanci,Tak po prostu,2003,rock / pop / jazz rock
Poluzjanci,Druga Płyta,2005,rock / pop / jazz rock
Porcupine Tree,In Absentia,2002,progressive rock / alternative rock / metal
Porcupine Tree,Deadwing,2005,progressive rock / alternative rock
Porcupine Tree,Fear of Blank Planet,2007,progressive rock / alternative rock
Cezary Konrad,One Mirror... Many Reflections, 1999,jazz / fusion
Damage Control,Damage Control,2008 ,fusion / progressive / jazz
Yellowjackets,Yellowjackets,1981,jazz fusion / jazz rock
Yellowjackets,Politics,1988,jazz fusion / smooth jazz
Dave Weckl,Master Plan,1990,jazz fusion
Dave Weckl,Synergy,1999,jazz fusion
Chick Corea,Now He Sings Now He Sobs,1970,post-bop jazz
Chick Corea,The Mad Hatter,1978,jazz fusion / jazz
Chick Corea,Leprechaun,1976,jazz fusion / fusion jazz
Chick Corea,Light as a Feather,1973,jazz / Latin jazz
Chick Corea,Akoustic Band Live From The Blue Note Tokyo,1996,jazz fusion / live
Chick Corea,My Spanish Heart,1976,jazz / fusion
Chick Corea,Sanchez – Dr. Joe,1984,jazz fusion
Miles Davis,Kind Of Blue,1959,modal jazz / cool jazz
Miles Davis,Miles Smiles,1967,post-bop / modal jazz
Miles Davis,Nefertiti,1968,post-bop / jazz
Miles Davis,Four and More,1967,live / post-bop
Miles Davis,Bitches Brew,1970,jazz fusion / experimental
